Account,date,daily_pnl,trade_count,avg_trade_size,sentiment_value,sentiment_class,win_rate,buy_sell_ratio
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-10,0.0,1,0.68,40.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-12,0.0,1,0.61,25.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-13,0.0,1,0.67,31.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-14,0.0,1,0.53,30.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-30,0.0,1,0.62,34.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-08-31,0.0,1,0.96,29.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-11,0.0,1,0.54,37.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-14,0.0,1,0.65,50.0,Neutral,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-09-21,36165.57,23,7202.0923,54.0,Neutral,1.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-05,0.0,1,0.61,49.0,Neutral,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-11,0.0,1,0.73,32.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-11-29,124284.95,15,8285.689,78.0,Extreme Greed,1.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-07,5615.052,93,4485.1606,44.0,Fear,0.25806451612903225,2.875
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-12,22795.81,108,4261.555,46.0,Neutral,0.4166666666666667,1.4
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-21,82117.05,255,1500.5278,55.0,Greed,1.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-09,0.0,79,5570.265,18.0,Extreme Fear,0.0,inf
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-16,0.0,78,1231.3268,29.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-18,0.0,58,1514.5614,33.0,Fear,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-26,0.0,132,838.09064,65.0,Greed,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-04-29,0.0,54,2655.165,60.0,Greed,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-11-30,8.570313,8,249.58374,84.0,Extreme Greed,0.125,7.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-01,197.42242,4,358.715,81.0,Extreme Greed,0.5,1.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-03,30.727222,42,330.0188,76.0,Extreme Greed,0.023809523809523808,1.625
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-04,910.5848,102,795.81525,78.0,Extreme Greed,0.13725490196078433,0.6190476190476191
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-05,3174.0237,290,587.6594,84.0,Extreme Greed,0.36551724137931035,1.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-06,514.8865,108,1009.2268,72.0,Greed,0.2962962962962963,1.297872340425532
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-07,1040.617,180,580.1654,75.0,Extreme Greed,0.35,0.8556701030927835
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-08,227.07216,69,423.37695,79.0,Extreme Greed,0.36231884057971014,0.9166666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-09,311.29062,55,399.53854,78.0,Extreme Greed,0.34545454545454546,1.391304347826087
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-10,1474.6707,182,512.0651,78.0,Extreme Greed,0.36813186813186816,1.4931506849315068
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-11,1157.6895,325,307.6035,74.0,Greed,0.3353846153846154,0.5625
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-12,574.3981,159,458.38843,83.0,Extreme Greed,0.2893081761006289,0.8928571428571429
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-13,587.6305,148,573.93414,76.0,Extreme Greed,0.35135135135135137,1.1142857142857143
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-14,1178.0211,62,488.35696,83.0,Extreme Greed,0.45161290322580644,1.3846153846153846
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-15,10303.89,181,622.4761,80.0,Extreme Greed,0.40331491712707185,1.0804597701149425
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-16,333.3982,92,574.742,83.0,Extreme Greed,0.29347826086956524,0.6428571428571429
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-17,21172.082,396,327.79242,87.0,Extreme Greed,0.29292929292929293,0.6032388663967612
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-18,3311.8225,226,380.76508,81.0,Extreme Greed,0.2079646017699115,1.073394495412844
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-19,3491.0186,135,427.78653,75.0,Extreme Greed,0.4666666666666667,1.2131147540983607
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-20,6049.694,128,718.26746,74.0,Greed,0.421875,1.206896551724138
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-21,7454.2764,229,475.05447,73.0,Greed,0.37554585152838427,0.4049079754601227
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-22,1063.8544,102,441.93286,73.0,Greed,0.29411764705882354,1.04
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-23,4704.442,486,478.66473,70.0,Greed,0.39711934156378603,0.944
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-12-24,1506.9893,121,393.04825,73.0,Greed,0.4214876033057851,0.8615384615384616
